"message_id","action","message_type","reason","confidence","evidence_message_ids"
"msg_028","mute","promotion","The user has opted out of or repeatedly dismissed similar marketing messages.","0.87","message_0112"
"msg_012","mute","forward","The sender has a pattern of repeated forwards or greetings that the user usually ignores.","0.87","message_0247"
"msg_064","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow.","0.87","message_0087"
"msg_103","notify","personal","A close contact sent a short urgent request that should interrupt the user.","0.91","message_0065"
"msg_031","notify","urgent","The message is from a work context and contains a direct deadline or meeting dependency.","0.91","message_0249"
"msg_057","notify","urgent","The message is from a work context and contains a direct deadline or meeting dependency.","0.91","message_0169"
"msg_087","mute","promotion","This sender is reported by users at a high rate and the message offers nothing that outweighs that risk.","0.87","message_0204"
"msg_067","notify","payment","A trusted group admin sent a time-sensitive update that should interrupt the user.","0.91","message_0068"
"msg_039","notify","urgent","A school admin sent a same-day operational update that the user is likely to need immediately.","0.91","message_0037"
"msg_082","notify","urgent","The message is from a work context and contains a direct deadline or meeting dependency.","0.91","message_0218"
"msg_066","mute","promotion","The user has opted out of or repeatedly dismissed similar marketing messages.","0.87","message_0188"
"msg_049","notify","business_update","A verified business is sending an update that matches the user's recent order history.","0.91","message_0153"
"msg_015","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow.","0.87","message_0045"
"msg_051","mute","promotion","The user has opted out of or repeatedly dismissed similar marketing messages.","0.87","message_0257"
"msg_097","digest","personal","The message is safe casual chat with no urgent action required.","0.84","message_0054"
"msg_089","notify","personal","A close contact sent a short urgent request that should interrupt the user.","0.87","none"
"msg_053","digest","business_update","A verified business is sending a legitimate but non-urgent update.","0.84","message_0161"
"msg_059","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow.","0.87","message_0214"
"msg_024","mute","promotion","The user has opted out of or repeatedly dismissed similar marketing messages.","0.87","message_0257"
"msg_072","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow.","0.87","message_0045"
"msg_036","mute","scam","This is the first message from the sender and it asks for sensitive verification or payment.","0.87","message_0283"
"msg_076","mute","scam","This is the first message from the sender and it asks for sensitive verification or payment.","0.87","message_0207"
"msg_055","notify","urgent","A close contact sent a short urgent request that should interrupt the user.","0.91","message_0166"
"msg_102","notify","urgent","A close contact sent a short urgent request that should interrupt the user.","0.91","message_0371"
"msg_080","notify","urgent","A trusted group admin sent a time-sensitive update that should interrupt the user.","0.91","message_0130"
"msg_093","notify","business_update","A verified business is sending an update that matches the user's recent order history.","0.87","none"
"msg_034","mute","greeting","The user has muted this group and the message does not address them directly.","0.87","message_0167"
"msg_035","digest","promotion","The message is promotional but matches a topic or business the user has opted into.","0.84","message_0281"
"msg_101","digest","personal","The message is safe casual chat with no urgent action required.","0.84","message_0268"
"msg_041","mute","promotion","This is the first message from the sender and it asks for sensitive verification or payment.","0.81","message_0137"
"msg_011","mute","forward","The user has muted this group and the message does not address them directly.","0.87","message_0077"
"msg_110","mute","scam","The message tries to instruct the router, but the routing decision should be based on the actual content and risk.","0.85","message_0238"
"msg_095","mute","scam","The message tries to instruct the router, but the routing decision should be based on the actual content and risk.","0.87","message_0087"
"msg_074","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow.","0.87","message_0203"
"msg_073","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow.","0.87","message_0024"
"msg_054","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow.","0.87","message_0164"
"msg_068","digest","event","The message describes an event far enough ahead that it does not need to interrupt the user now.","0.82","message_0191"
"msg_100","notify","urgent","A close contact sent a short urgent request that should interrupt the user.","0.91","message_0228"
"msg_062","notify","event","A trusted group admin sent a time-sensitive update that should interrupt the user.","0.91","message_0043"
"msg_096","mute","urgent","This is the first message from the sender and it asks for sensitive verification or payment.","0.81","none"
"msg_043","notify","urgent","A trusted group admin sent a time-sensitive update that should interrupt the user.","0.91","message_0001"
"msg_077","notify","event","A school admin sent a same-day operational update that the user is likely to need immediately.","0.91","message_0051"
"msg_081","notify","urgent","A school admin sent a same-day operational update that the user is likely to need immediately.","0.91","message_0217"
"msg_025","digest","business_update","The verified business message is legitimate but does not require immediate attention.","0.84","message_0239"
"msg_084","mute","promotion","The user has opted out of or repeatedly dismissed similar marketing messages.","0.87","message_0220"
"msg_022","mute","scam","The message asks for urgent OTP or account verification through a suspicious flow.","0.85","message_0151"
